x;Posicao
0.0535;-0.0674
0.5062;-0.0674
0.7236;-0.0412
0.9589;0.0174
10.313;0.0174
1.484;0.187
15.383;0.3566
19.186;0.8654
19.548;0.9502
20.272;12.045
23.169;18.829
24.256;22.221
26.791;30.701
27.877;34.093
29.512;41.316
30.774;45.116
3.349;55.292
34.215;58.684
36.931;6.886
37.655;72.251
4.019;82.427
41.095;85.819
4.363;95.147
44.355;98.539
46.165;105.322
47.795;112.106
49.606;11.889
50.926;123.763
52.292;12.982
53.369;134.532
54.132;136.697
55.741;143.618
57.573;150.265
60.108;161.289
61.013;163.832
63.548;174.008
64.273;17.74
66.989;187.576
67.713;190.968
69.252;197.751
70.067;201.143
71.153;204.535
71.515;206.231
73.145;213.015
74.594;217.255
74.956;218.951
76.404;226.158
77.853;230.822
78.396;233.366
79.483;239.302
81.274;244.391
83.104;249.478
84.553;25.287
87.269;257.957
88.717;259.653
90.347;259.653
91.614;259.653
92.972;260.077
94.874;259.653
96.141;259.653
97.952;260.077
99.401;259.653
