x;velocidade
0,056;-0,0116
0,4894;0,0055
0,5075;-0,0116
0,923;-0,0287
0,959;0,0055
1,0847;0,1249
1,2812;0,5175
1,4596;0,893
1,5668;1,0979
1,5846;1,1491
1,7452;1,4904
1,7811;1,5246
1,9418;1,866
2,0812;2,172
2,2049;2,4301
2,3173;2,6667
2,3882;2,7535
2,4863;2,9678
2,5847;3,1461
2,7811;3,5387
2,7812;3,5216
2,8911;3,8064
3,0316;3,9654
3,4831;3,9654
3,7206;4
3,9346;3,9654
4,0249;3,9654
4,4765;3,9654
4,928;3,9654
5,0182;3,9825
5,4517;3,9825
5,7346;3,9785
6,0117;3,9654
6,2011;3,9892
6,4632;3,9654
6,6676;3,9785
6,9148;3,9654
7,0231;3,9654
7,4747;3,9654
7,9261;3,9825
8,0542;3,6923
8,1039;3,5161
8,1649;3,2827
8,2757;2,856
8,3864;2,4463
8,479;2,0366
8,5898;1,6099
8,7005;1,2003
8,8112;0,7906
8,8255;0,6667
8,9219;0,381
9,0864;0,0396
9,3296;0,0645
9,538;0,0225
9,9715;0,0225
